domain	Marinobacter_adhaerens_HP15	Marinobacter_adhaerens_strain_PBVC038	Marinobacter_algicola_DG893	Marinobacter_antarcticus_CGMCC1_10835	Marinobacter_aromaticivorans_strain_D15-8P	Marinobacter_daepoensis_DSM_16072	Marinobacter_dagiaonensis_CGMCC_1_9167	Marinobacter_excellens_HL-55	Marinobacter_excellens_LAMA_842	Marinobacter_flavimaris	Marinobacter_guaonensis_CGCC_1_6294	Marinobacter_guineae_strain_M3B	Marinobacter_hydrocarbonoclasticus_ASM1536	Marinobacter_hydrocarbonoclasticus_ATCC_49840	Marinobacter_hydrocarbonoclasticus_STW2	Marinobacter_lipoliticus_BF04_CF-4	Marinobacter_lipolyticus_SM19	Marinobacter_lutaoensis_T5054	Marinobacter_manganoxydans_MnI7-9	Marinobacter_mobilis_GCMCC_1_7059	Marinobacter_nanhaiticus_D15-8W	Marinobacter_nitrareduscens_AK21	Marinobacter_pelagius_CGMCC_1_6775	Marinobacter_persicus_IBRC-M_10445	Marinobacter_psychrophilus_20041	Marinobacter_salarius_SMR5	Marinobacter_salexigens_strain_HJR7	Marinobacter_salinus_Hb8	Marinobacter_santoriniensis_NKSG1	Marinobacter_segnicrescens_CGMCC_1_6489	Marinobacter_sp_AC-23	Marinobacter_sp_ANT_B65	Marinobacter_sp_BSs20148	Marinobacter_sp_C18	Marinobacter_sp_C1S70	Marinobacter_sp_CP1	Marinobacter_sp_CPC8	Marinobacter_sp_DG879	Marinobacter_sp_DSM_26291	Marinobacter_sp_DSM_26671	Marinobacter_sp_EhC06	Marinobacter_sp_EhN04	Marinobacter_sp_ELB17	Marinobacter_sp_EN3	Marinobacter_sp_ES_042	Marinobacter_sp_ES_048	Marinobacter_sp_ES-1	Marinobacter_sp_EVN1	Marinobacter_sp_FDB33	Marinobacter_sp_HK15	Marinobacter_sp_HL-58	Marinobacter_sp_IN6	Marinobacter_sp_LQ44	Marinobacter_sp_LV10MA510-1	Marinobacter_sp_LV10R510-11A	Marinobacter_sp_LV10R510-8	Marinobacter_sp_LV10R520-4	Marinobacter_sp_LVR2A5A20	Marinobacter_sp_MCTG268	Marinobacter_sp_N4	Marinobacter_sp_P4B1	Marinobacter_sp_PWS21	Marinobacter_sp_tcs-11	Marinobacter_sp_UBA2698	Marinobacter_sp_UBA3604	Marinobacter_sp_UBA4489	Marinobacter_sp_X15-166B	Marinobacter_sp_YWL01	Marinobacter_subterrani_JG233	Marinobacter_vinifirmus_FB1	Marinobacter_zhejiangensis_CGMCC_1_7061
CBM40	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0
CBM41	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0
CBM44	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM47	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM48	1	2	0	1	2	1	0	1	2	1	2	1	1	1	1	0	2	1	1	0	1	1	1	1	0	1	0	3	1	0	0	0	0	1	1	1	1	1	1	1	2	2	0	1	1	1	1	1	1	1	5	1	2	0	0	0	0	0	1	2	1	1	1	1	1	1	0	1	2	1	0
CBM5	2	1	1	1	0	0	0	2	0	0	1	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	2	1	0	0	0	0	0	1	2	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0
CBM50	8	7	7	8	7	7	7	8	9	8	7	6	9	9	10	7	7	8	8	8	7	7	8	6	6	6	8	7	8	7	8	9	7	6	9	8	7	7	6	8	8	8	6	8	8	7	8	9	7	6	8	9	9	7	8	8	7	8	7	8	8	8	8	9	6	8	7	8	8	8	8
CBM56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
CBM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM61	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
CBM63	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM66	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBM69	0	1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
CBM78	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CBM80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
CBM9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
CE1	7	7	11	5	5	6	6	7	9	6	3	4	7	8	6	5	8	3	6	6	13	6	4	3	6	10	5	4	4	5	7	7	5	9	8	5	8	6	9	7	7	7	7	8	5	5	9	7	8	10	7	5	5	8	4	3	7	3	9	8	9	6	7	9	8	5	5	8	3	10	7
CE10	6	7	5	4	4	5	7	5	6	5	5	6	3	4	5	3	4	4	6	6	4	4	4	1	4	4	5	4	5	5	3	5	5	8	3	5	6	5	5	6	7	7	5	3	5	5	3	4	4	4	6	7	5	6	3	3	6	3	4	6	4	6	3	4	4	5	4	7	4	5	5
CE11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CE13	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0
CE14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CE16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CE2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
CE3	2	1	1	2	3	2	2	2	2	1	1	1	2	1	1	1	2	2	1	2	5	1	2	1	2	2	3	1	1	2	3	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2
CE4	3	2	6	2	4	6	3	3	3	3	5	3	4	5	5	2	4	4	4	3	7	4	3	1	4	7	3	3	2	4	2	5	4	5	2	4	7	3	7	2	5	5	4	3	5	6	2	4	3	5	4	6	3	1	3	3	4	3	5	3	2	3	3	5	7	4	4	4	5	5	6
CE7	3	2	1	1	1	1	2	1	2	1	3	3	2	2	1	0	3	1	2	2	2	2	2	2	2	1	0	3	0	1	0	0	2	2	1	3	1	2	1	2	3	3	2	2	2	2	2	2	3	1	1	2	2	1	0	0	1	0	1	2	3	2	2	4	2	3	0	2	1	1	1
CE9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
dockerin	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0
GH103	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	2
GH104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH109	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	1	0	0	0
GH114	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	1	0
GH13_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_13	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0
GH13_15	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_18	2	1	1	2	0	1	1	1	1	2	1	1	3	1	1	1	1	1	2	1	1	2	1	1	2	1	0	2	2	2	0	2	2	1	1	2	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	2	1	1	0	0	1	0	1	1	1	0	1	1	1	2	0	2	1	1	1
GH13_19	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0
GH13_23	0	1	1	0	2	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	1	0	2	2	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	2	0	0
GH13_24	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
GH13_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_9	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	2	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0
GH144	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GH15	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0
GH16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH23	7	7	5	6	7	4	5	4	3	7	6	6	6	4	4	5	4	4	6	4	6	5	6	3	4	6	5	5	4	5	6	6	4	8	4	6	5	6	6	6	6	6	4	4	6	6	4	4	5	5	4	6	3	5	6	6	5	7	5	7	7	4	5	6	5	6	5	7	5	4	4
GH24	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0
GH28	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0
GH30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
GH5_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH5_47	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GH5_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GH57	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	2	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0
GH65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH73	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	2	2	2	3	2	2	2	2	2	2	2	2	2	1	1	2	2	2	1	2	2	2	1	2
GH74	3	3	4	2	2	3	0	3	4	1	2	3	5	2	3	1	3	1	1	2	2	1	2	0	1	3	2	3	2	0	2	1	2	4	0	1	3	4	4	3	6	6	1	1	1	5	1	1	2	3	2	1	2	4	1	1	1	1	4	3	1	2	2	3	3	1	5	4	1	3	3
GH77	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	2	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0
GH81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GH88	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH94	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
GT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
