Marinobacter_adhaerens_HP15 Marinobacter_adhaerens_strain_PBVC038 Marinobacter_algicola_DG893 Marinobacter_antarcticus_CGMCC1_10835 Marinobacter_aromaticivorans_strain_D15_8P Marinobacter_daepoensis_DSM_16072 Marinobacter_dagiaonensis_CGMCC_1_9167 Marinobacter_excellens_LAMA_842 Marinobacter_flavimaris Marinobacter_guaonensis_CGCC_1_6294 Marinobacter_guineae_strain_M3B Marinobacter_hydrocarbonoclasticus_ASM1536 Marinobacter_hydrocarbonoclasticus_ATCC_49840 Marinobacter_hydrocarbonoclasticus_STW2 Marinobacter_lipoliticus_BF04_CF_4 Marinobacter_lipolyticus_SM19 Marinobacter_lutaoensis_T5054 Marinobacter_manganoxydans_MnI7_9 Marinobacter_mobilis_GCMCC_1_7059 Marinobacter_nanhaiticus_D15_8W Marinobacter_nitrareduscens_AK21 Marinobacter_pelagius_CGMCC_1_6775 Marinobacter_persicus_IBRC_M_10445 Marinobacter_psychrophilus_20041 Marinobacter_salarius_SMR5 Marinobacter_salexigens_strain_HJR7 Marinobacter_salinus_Hb8 Marinobacter_santoriniensis_NKSG1 Marinobacter_sp_ANT_B65 Marinobacter_sp_BSs20148 Marinobacter_sp_C18 Marinobacter_sp_C1S70 Marinobacter_sp_CP1 Marinobacter_sp_CPC8 Marinobacter_sp_DSM_26291 Marinobacter_sp_DSM_26671 Marinobacter_sp_EN3 Marinobacter_sp_ES_042 Marinobacter_sp_ES_048 Marinobacter_sp_ES_1 Marinobacter_sp_EVN1 Marinobacter_sp_EhC06 Marinobacter_sp_EhN04 Marinobacter_sp_FDB33 Marinobacter_sp_HK15 Marinobacter_sp_HL_58 Marinobacter_sp_LQ44 Marinobacter_sp_LV10R510_11A Marinobacter_sp_LV10R510_8 Marinobacter_sp_N4 Marinobacter_sp_P4B1 Marinobacter_sp_PWS21 Marinobacter_sp_X15_166B Marinobacter_sp_tcs_11 Marinobacter_subterrani_JG233 Marinobacter_vinifirmus_FB1 Marinobacter_zhejiangensis_CGMCC_1_7061
PC_00000042 1 2 5 0 0 0 1 1 2 0 0 5 0 2 0 0 1 1 1 4 0 0 0 1 2 3 0 3 3 1 1 1 4 0 2 4 2 0 7 0 2 4 4 1 1 0 0 0 0 0 0 1 1 3 4 0 0
PC_00000043 1 1 1 1 2 0 1 1 2 1 1 1 0 1 2 1 1 2 2 1 1 2 0 2 1 1 1 2 1 2 1 0 2 1 1 1 2 1 2 0 2 2 2 2 1 1 2 2 2 2 1 2 1 1 3 1 1
PC_00000044 1 0 1 1 1 2 0 1 0 1 2 1 1 2 1 1 0 2 1 1 1 1 0 0 1 0 0 1 0 0 1 1 2 1 1 2 1 1 1 1 1 2 2 2 1 2 1 5 3 1 2 1 1 1 1 1 1
PC_00000047 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 3 1 2 2 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 2 1 2 2 1 1 1 3 3 1 1 1 4 2
PC_00000050 2 1 2 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 2 2 2 2 1 1 1 1 1 2 2 1 2 2 1 1 1 2 1 1 1 1 2 1 1
PC_00000052 2 1 2 1 1 1 1 1 2 2 2 1 1 1 1 1 1 2 1 1 1 1 0 1 2 1 1 1 1 1 2 1 2 2 2 2 1 1 1 1 1 2 2 1 2 2 1 1 1 2 1 1 1 1 2 1 1
PC_00000054 1 1 2 1 0 1 1 1 1 1 1 1 1 1 1 2 0 1 2 2 1 3 1 2 2 1 2 1 1 2 2 1 1 4 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 3 1 0
PC_00000056 0 0 1 2 5 4 0 0 0 0 3 6 0 2 2 0 1 2 0 0 0 0 1 0 1 2 0 0 1 0 1 2 2 2 0 7 2 0 0 4 2 2 2 3 1 7 1 0 0 1 0 2 0 2 0 0 0
PC_00000058 1 1 1 1 1 1 1 1 1 1 2 2 1 2 2 2 1 1 2 1 2 2 1 1 1 1 1 1 1 2 1 1 2 1 1 1 2 1 1 1 1 1 1 2 1 1 1 2 2 1 1 1 1 1 1 2 1
PC_00000059 2 1 1 0 0 0 1 3 2 0 0 7 1 2 0 0 1 3 0 2 0 1 4 0 1 0 0 0 0 0 1 0 4 1 1 2 1 0 0 2 3 1 1 2 1 1 2 0 0 0 4 2 0 3 1 7 0
PC_00000062 1 1 1 1 2 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 1 2 2 1 1 2 1 1
PC_00000063 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 5 1 1 1 0 1 1 1 1 1 1 1 1 1 1 5 2 1 5 1 1 1 0 1 1 1 1 1 1 2 1 1 1 0 0 1 1 1 0 1
PC_00000068 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 2 0 1 1 1 1 2 0 1 2 1 1 1 1 1 2 1 1 2 2 1 1 1 6 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 2 1 1
PC_00000069 1 1 2 2 1 1 1 1 1 1 2 0 1 0 1 1 1 1 1 2 1 1 0 1 2 1 2 1 2 2 2 1 2 2 2 2 1 1 1 0 1 1 1 2 2 1 2 2 2 1 0 2 1 0 2 1 0
PC_00000075 1 1 2 1 1 1 0 2 1 2 1 1 1 2 1 2 1 1 2 1 2 1 0 1 2 1 1 1 1 1 2 1 1 2 2 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 2 2 1 1 1 1
PC_00000077 0 0 0 0 0 0 0 3 0 0 0 9 0 0 1 0 0 3 0 0 0 0 0 2 0 0 0 0 0 1 1 3 6 0 0 5 3 0 0 1 0 0 0 0 0 0 2 3 3 0 0 0 0 0 3 0 0
PC_00000078 2 2 1 1 1 1 1 1 2 1 2 1 1 1 0 1 1 2 2 1 2 2 1 0 1 1 1 2 1 0 1 1 2 1 1 2 1 2 2 1 1 2 2 1 1 1 1 1 1 2 1 2 1 1 1 1 2
PC_00000082 1 1 1 2 1 1 1 1 2 1 1 1 1 1 3 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000085 2 2 0 2 1 1 0 1 3 1 1 2 2 1 1 0 0 3 0 0 2 1 1 1 0 1 3 1 1 1 0 2 3 0 0 3 2 2 2 1 2 2 2 0 0 0 1 1 1 1 1 0 0 2 2 1 0
PC_00000086 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 2 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1
PC_00000087 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1
PC_00000088 0 0 0 2 0 0 1 4 0 0 0 8 0 5 0 0 0 5 2 0 0 0 0 0 0 0 0 1 0 0 0 7 10 1 0 10 3 0 0 1 3 0 0 4 0 0 4 0 2 0 0 0 0 0 0 0 0
PC_00000089 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 2 1 2 1 1 1 1 1 1 1 0 0 1 1 0 2 2 1 1 1 1 1 1 1 2 2 3 1 1 2 1 1 1 1 2 0 0 2 1 1
PC_00000090 1 1 0 1 1 1 1 2 1 1 2 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 2 1 1 1 1 1 2 2 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1
PC_00000093 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
PC_00000095 1 1 1 1 1 1 2 2 1 1 1 1 1 1 3 1 1 1 0 2 1 1 1 1 2 1 1 1 1 1 2 1 1 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 0 1 1 1 0
PC_00000098 2 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000099 1 1 1 1 1 2 1 3 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
PC_00000100 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1
PC_00000101 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1
PC_00000104 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1
PC_00000105 1 1 1 2 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 0 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1
PC_00000107 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1
PC_00000110 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1
PC_00000111 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2
PC_00000112 2 2 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 3 1 1 1
PC_00000114 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1
PC_00000115 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000117 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1
PC_00000121 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000123 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000124 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000126 1 1 2 1 2 0 3 0 1 1 1 0 0 0 1 2 0 1 0 2 1 1 0 1 2 0 2 1 1 1 2 0 1 2 2 1 0 1 1 0 1 1 1 2 2 2 1 1 1 1 1 1 2 1 1 1 1
PC_00000128 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
PC_00000129 2 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
PC_00000131 1 1 2 1 0 1 1 0 2 1 1 0 0 0 0 2 0 2 1 2 2 1 0 1 2 0 1 1 1 1 2 0 2 2 2 2 0 1 2 0 1 1 1 1 2 1 1 1 1 1 1 1 0 1 1 1 2
PC_00000133 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000139 1 0 1 1 1 0 1 2 2 0 1 1 1 1 2 0 1 3 0 1 1 1 1 0 1 1 1 1 0 1 3 0 3 1 1 1 1 0 0 1 1 1 1 4 1 0 2 1 1 1 1 2 0 1 1 1 0
PC_00000140 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1
PC_00000141 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
PC_00000143 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000144 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000146 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 2 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000148 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000150 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000156 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
PC_00000157 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
PC_00000160 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000161 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000162 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000164 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000165 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000171 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000175 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000177 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000178 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
PC_00000179 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 2 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000180 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000184 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1
PC_00000185 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000186 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000188 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000189 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000190 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000191 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000195 2 1 1 2 1 1 3 1 1 1 3 1 1 1 0 0 1 1 2 2 1 2 1 0 1 1 2 2 2 0 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 0 0 1 1 2 1 1 1 1 1
PC_00000196 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1
PC_00000197 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000200 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000202 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1
PC_00000203 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000204 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000205 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000208 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000211 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000213 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000215 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PC_00000216 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
