"Bin_Id" "group" "group2" "lifestyle" "SS" "sourceClass" "lat" "lon"
"57" "Marinobacter_sp_LV10R520_4" "V" "psychro" "polar" "Polar" "Antarctic" -77.3885 161.931
"58" "Marinobacter_sp_LVR2A5A20" "IV" "antarcticus" "polar" "Polar" "Antarctic" -77.3885 161.931
"59" "Marinobacter_sp_MCTG268" "X" "algicola" "alga" "Phototroph" "Phototroph" NA NA
"60" "Marinobacter_sp_N4" "I" "adhaerens" "" "" "" NA NA
"61" "Marinobacter_sp_P4B1" "VII" "vinifirmus" "other" "Sediment" "sediment" NA NA
"62" "Marinobacter_sp_PWS21" "-" "other" "other" "Sediment" "sedment" NA NA
"63" "Marinobacter_sp_tcs_11" "VIII" "hydrocarbo" "other" "Photic" "biofilm" 22.2692 38.8858
"64" "Marinobacter_sp_UBA2698" "XIII" "other" "other" "" "" NA NA
"65" "Marinobacter_sp_UBA3604" "X" "algicola" "other" "" "" NA NA
"66" "Marinobacter_sp_UBA4489" "I" "adhaerens" "other" "Terrestial" "gass_well_" 39.9 -79.9833
"67" "Marinobacter_sp_X15_166B" "XIV" "sedim" "other" "Sediment" "sediment" 21.30944444 -157.8725
"68" "Marinobacter_sp_YWL01" "I" "adhaerens" "alga" "Phototroph" "algal" NA NA
"69" "Marinobacter_subterrani_JG233" "-" "other" "other" "Terrestial" "iron_mine" 47.8233 -92.2372
"70" "Marinobacter_vinifirmus_FB1" "VII" "vinifirmus" "other" "Terrestial" "wine_desication" NA NA
"71" "Marinobacter_zhejiangensis_CGMCC_1_7061" "XIV" "sedim" "other" "Sediment" "sediment" 27.3325 120.5747222
