"Marinobacter_lutaoensis_T5054" "Marinobacter_manganoxydans_MnI7_9" "Marinobacter_sp_CP1" "Marinobacter_sp_ES_042" "Marinobacter_sp_LV10R510_11A" "Marinobacter_hydrocarbonoclasticus_VT8" "Marinobacter_salinus_Hb8" "Marinobacter_daepoensis_DSM_16072" "Marinobacter_sp_LVR2A5A20" "Marinobacter_segnicrescens_CGMCC_1_6489" "Marinobacter_persicus_IBRC_M_10445" "Marinobacter_hydrocarbonoclasticus_ASM1536" "Marinobacter_mobilis_GCMCC_1_7059" "Marinobacter_sp_DSM_26671" "Marinobacter_adhaerens_HP15" "Marinobacter_santoriniensis_NKSG1" "Marinobacter_sp_C1S70" "Marinobacter_sp_DG879" "Marinobacter_algicola_DG893" "Marinobacter_sp_X15_166B" "Marinobacter_sp_EVN1" "Marinobacter_sp_DSM_26291" "Marinobacter_sp_LV10R510_8" "Marinobacter_sp_EN3" "Marinobacter_zhejiangensis_CGMCC_1_7061" "Marinobacter_subterrani_JG233" "Marinobacter_sp_PWS21" "Marinobacter_sp_HL_58" "Marinobacter_sp_FDB33" "Marinobacter_vinifirmus_FB1" "Marinobacter_hydrocarbonoclasticus_ATCC_49840" "Marinobacter_sp_ANT_B65" "Marinobacter_excellens_LAMA_842" "Marinobacter_sp_UBA3604" "Marinobacter_nanhaiticus_D15_8W" "Marinobacter_dagiaonensis_CGMCC_1_9167" "Marinobacter_sp_C18" "Marinobacter_sp_EhC06" "Marinobacter_sp_ES_048" "Marinobacter_sp_N4" "Marinobacter_aromaticivorans_strain_D15_8P" "Marinobacter_salexigens_strain_HJR7" "Marinobacter_hydrocarbonoclasticus_STW2" "Marinobacter_sp_LQ44" "Marinobacter_lipolyticus_SM19" "Marinobacter_sp_UBA4489" "Marinobacter_psychrophilus_20041" "Marinobacter_antarcticus_CGMCC1_10835" "Marinobacter_adhaerens_strain_PBVC038" "Marinobacter_lipoliticus_BF04_CF_4" "Marinobacter_sp_YWL01" "Marinobacter_sp_MCTG268" "Marinobacter_sp_HK15" "Marinobacter_sp_BSs20148" "Marinobacter_sp_EhN04" "Marinobacter_sp_AC_23" "Marinobacter_nitrareduscens_AK21" "Marinobacter_sp_tcs_11" "Marinobacter_guineae_strain_M3B" "Marinobacter_sp_LV10R520_4" "Marinobacter_guaonensis_CGCC_1_6294" "Marinobacter_pelagius_CGMCC_1_6775" "Marinobacter_flavimaris" "Marinobacter_sp_CPC8" "Marinobacter_sp_IN6" "Marinobacter_excellens_HL_55" "Marinobacter_sp_LV10MA510_1" "Marinobacter_sp_ELB17" "Marinobacter_sp_P4B1" "Marinobacter_sp_ES_1" "Marinobacter_sp_UBA2698" "Marinobacter_salarius_SMR5"
"Marinobacter_lutaoensis_T5054" 1 0.766087238641376 0.766308746217034 0.764532375838926 0.741975238611714 0.766870018298262 0.756601372113677 0.756313027698185 0.741517443365696 0.756731657997399 0.771379812007277 0.766870018298262 0.752784764096663 0.766099789609274 0.764953930369128 0.772073570815451 0.767891271703426 0.766803003194888 0.756473677042802 0.747708828125 0.766976883175462 0.757998714565005 0.741808766974471 0.767731332404828 0.750239003476246 0.77151504143044 0.770415511732402 0.760707733071639 0.76457937749004 0.773537321428572 0.766434160682226 0.74273676014021 0.765635288232492 0.757611557663505 0.747670181818182 0.757170670572917 0.756759675599436 0.767406146632566 0.765191504102097 0.767500069838498 0.751802386085252 0.741164939632546 0.766039678217822 0.76551829512894 0.760529024875622 0.765357629139073 0.73839819183409 0.748327647058824 0.766543387931035 0.744977786946737 0.764611458863444 0.758346668339187 0.757159412045889 0.739768276085548 0.767397719522592 0.741517265264238 0.759872390331244 0.765894814126394 0.766092141630901 0.743094134742404 0.776093563322742 0.791610824884793 0.765367219827586 0.756335196029777 0.765372010535557 0.755438 0.743094385272847 0.740809936427209 0.77430134987593 0.775234148559879 0.733875485544848 0.756240971891377
"Marinobacter_manganoxydans_MnI7_9" 0.765750378521127 1 0.962403116001087 0.933731834777228 0.757268330365093 0.778513761980831 0.779429497667743 0.759752519468621 0.756961579646018 0.762272358546754 0.772165693265422 0.778538095047923 0.749762450925407 0.959854644085737 0.945927560471977 0.76971545239036 0.775521379310345 0.782410789277736 0.768734431162407 0.742848889618922 0.773437618102422 0.77078393939394 0.757117874050916 0.775268158319871 0.748277575231482 0.817768913118726 0.77721044454423 0.77066517618469 0.784757090097403 0.781908816326531 0.772910559105431 0.758574715483017 0.775091238327243 0.76865934556065 0.745967953105197 0.755488299445471 0.772246797307997 0.885046161318811 0.885785169980757 0.881448417682927 0.76734745691467 0.755759639243291 0.774941548468317 0.779483693586698 0.771720072494669 0.962962891328829 0.743875413669065 0.765924674457429 0.865475792333233 0.751626839199448 0.944435342305442 0.771545955645161 0.767901337161608 0.744874526438117 0.885057906360424 0.757842224549644 0.768772836596085 0.77966258911085 0.818708630182421 0.748732667443215 0.803980298763736 0.787451377887789 0.959520920295809 0.767793755152514 0.966910051855895 0.762095478105452 0.7489520671685 0.748382761958998 0.78036700921659 0.78026691011236 0.749096372093023 0.76804047909054
"Marinobacter_sp_CP1" 0.767313049250535 0.962813241416599 1 0.941374899162271 0.75913877070619 0.783179419677172 0.78117495049505 0.760307967479675 0.758546582278481 0.765661837933059 0.777878984461709 0.783179419677172 0.751561807095344 0.964873603344657 0.953455129013761 0.770969367138365 0.776739495357287 0.785036520655271 0.769042156549521 0.743737495170638 0.774531300154321 0.77272172265625 0.758951581252738 0.77777536295121 0.749497966101695 0.818656358496841 0.777762248263889 0.771710863956216 0.786053357285429 0.786367896825397 0.774534433555468 0.760472296006945 0.776005098750504 0.770726830668307 0.749376098319851 0.755514043191362 0.780423278381416 0.885035963250072 0.887791849056604 0.880636490384616 0.771770490275527 0.757306353852777 0.775977013256007 0.783492249228395 0.773464875998319 0.999085528765815 0.744751739130435 0.766193773584906 0.865243278784337 0.753427122112211 0.95289881443299 0.772107103694875 0.769644968051118 0.745979455667789 0.885070844584889 0.759213753076292 0.769926063579278 0.778240817683881 0.818679092977893 0.74931689827682 0.803817663519892 0.788219765277216 0.967098738127544 0.770733699398798 0.964701149393605 0.762478320944469 0.749662171460801 0.748765228371843 0.78207660971223 0.781624300373134 0.750482773817239 0.7689656222489
"Marinobacter_sp_ES_042" 0.76534931981982 0.935082749216301 0.942294745232885 1 0.758244300518135 0.77062105982906 0.778452866520788 0.758030337552743 0.757850725806452 0.752716921542553 0.769106764354067 0.77062105982906 0.749866583184258 0.942172547790661 0.95549298829883 0.768137473073737 0.770131474000859 0.77761923782921 0.766070853122252 0.742531795043537 0.770449316381826 0.765797484662577 0.757985175521822 0.770313935483871 0.747669265569918 0.814794193781634 0.767350903703704 0.770741125265393 0.774345486205337 0.776306471734893 0.769219310627821 0.758317296803653 0.769567953063885 0.764140228494624 0.745461337535014 0.754257504885994 0.766590021561018 0.877106844224218 0.889086548335975 0.873098795527157 0.764553912466844 0.755587620578778 0.769885083672546 0.76981596213122 0.772058681514477 0.942556884566327 0.745328480934809 0.764687897631134 0.859674308126765 0.751232819767442 0.954502515114873 0.766054551056338 0.76598409643788 0.746253644524237 0.877100427641772 0.757838381555154 0.767518964948454 0.769415393684211 0.816038045547247 0.74919359432799 0.802188921146953 0.785078781725888 0.946734606431853 0.763198438331855 0.938479185348911 0.760805864661654 0.749475834873691 0.748951446153846 0.77631384503632 0.776578362196932 0.734479346069067 0.76518830082358
"Marinobacter_sp_LV10R510_11A" 0.742803959913326 0.758167984875445 0.758462822902796 0.757781240018788 1 0.751857781155015 0.755957832874196 0.744100939524838 0.970737936152338 0.738192614047791 0.750616416610851 0.751857781155015 0.737452774410774 0.757373009751773 0.757854746146872 0.746280556112224 0.752184529262087 0.756125844835793 0.74827678256357 0.735502101955307 0.751304560080443 0.747526875 0.990820283093054 0.751694422492401 0.736567705570292 0.760227096188748 0.750056464183381 0.750185189413596 0.755378995859213 0.755393322422259 0.751407156663276 0.808391810163797 0.751793561208267 0.747495074626866 0.73248933693138 0.737729133915575 0.748154567963618 0.759173490732568 0.759048482986768 0.759744702407997 0.806185516154452 0.80089996365105 0.752290572337043 0.75290904338735 0.753399149840595 0.757071902777778 0.755905367863449 0.840643235059761 0.75773922150139 0.773993412057179 0.756823616734143 0.748738369341564 0.748132990750257 0.759248689095128 0.759208334069819 0.837428364366557 0.748146326932545 0.750299064089522 0.760356497125166 0.774713047962867 0.757150667311412 0.756465328205128 0.758032975653742 0.746588037775446 0.75654163003663 0.746876312880044 0.77475067940552 0.774799895779052 0.75651837106571 0.756929324631101 0.728737034700315 0.748633680449209
"Marinobacter_hydrocarbonoclasticus_VT8" 0.766445306762203 0.779618956109134 0.785541483308042 0.771460059701493 0.752177735849057 1 0.763117175538935 0.805667420289855 0.752255074626866 0.765311885295912 0.787487989021956 1 0.75424994794679 0.783833571428571 0.772663277276456 0.768633324324324 0.9675342196702 0.773171324823944 0.761913320592451 0.744142463261022 0.966075010106844 0.765977558728696 0.751834030150754 0.966502453498671 0.749913716915995 0.776625414736842 0.772380155793574 0.766103342541437 0.776118372413793 0.81993524260355 0.96804466212211 0.752162038310413 0.801508293650794 0.764616520481928 0.746552974465149 0.755634160982265 0.764525356986422 0.780189254133026 0.77138418989547 0.775963794225295 0.762249594902139 0.753192077669903 0.807151711614527 0.806661771836007 0.765060663167939 0.77738580306699 0.745390993464052 0.756537598231827 0.77628843575419 0.753208234885337 0.772302606924644 0.763776599625819 0.761531129568106 0.745760424050633 0.780192280769231 0.751385014548982 0.763234444444445 0.961534035532995 0.771039553422371 0.750680355450237 0.774386396551724 0.781804618566176 0.777468714683645 0.765687001879699 0.777726520526106 0.781708780778396 0.74988795202952 0.750005481347774 0.815667481810833 0.824733772241993 0.743498280802292 0.760922266978923
"Marinobacter_salinus_Hb8" 0.758016812891674 0.780567625899281 0.781604129424383 0.778927898550725 0.757003205542725 0.763509803321678 1 0.754324570479354 0.756217748161765 0.747981927951968 0.760020198946753 0.763509803321678 0.747214198250729 0.780350826591629 0.779842202797203 0.76385880078125 0.763699058876004 0.783573869047619 0.762170946180556 0.738439317106153 0.762915590986394 0.762039890877346 0.756606349721707 0.76353376663709 0.745285451388889 0.781748113636364 0.763312743699477 0.763700313036021 0.769622469525959 0.767298613669414 0.762952608131488 0.757353151785714 0.762942077747989 0.761327845947156 0.741623587628866 0.748145746316464 0.761863598794662 0.783045270175439 0.781339630681818 0.782134237468894 0.760517108380869 0.752938638625057 0.762843516791045 0.76283576940133 0.767177700440529 0.779784078850405 0.743511187427241 0.767403119709794 0.778489632481624 0.748501194444445 0.779409479930192 0.762155519197208 0.761956941684665 0.746100760499432 0.783040680940681 0.756812112860892 0.767449600310439 0.762528943692711 0.785500554233254 0.746000370806357 0.775338241029641 0.776975650186955 0.779670173070267 0.760117028697572 0.779676072859745 0.75618538247566 0.747358225806452 0.747712454545455 0.767170318994683 0.766772589928058 0.733102517006803 0.761754815458098
"Marinobacter_daepoensis_DSM_16072" 0.755854586894587 0.760376321100917 0.760427939835916 0.759315384252711 0.743802615467239 0.805577898019076 0.754801945636624 1 0.74348170280275 0.746287342406877 0.7688328116107 0.805577898019076 0.743981550707547 0.760295564663024 0.759556135746606 0.756772116122841 0.807633874769797 0.757924259624877 0.751311987545408 0.737812127071823 0.806325110320285 0.751452576148684 0.743653125336202 0.807031601331361 0.743997215686275 0.761980158804297 0.757023757763975 0.753323245526839 0.760699194936709 0.786666782608696 0.80557732037487 0.745871573754317 0.778468587406794 0.751033503419253 0.736532967693464 0.744602494577006 0.751167396630934 0.760736595932803 0.759191066916238 0.761733268359021 0.751184605788423 0.745466836528759 0.778638010774969 0.778520972906404 0.756698307383225 0.759198337214718 0.738028455339154 0.749438179028133 0.760523917620137 0.744608653093187 0.759401043360434 0.751392898252827 0.751209851738241 0.738974187627464 0.760758215234721 0.744503232628399 0.757160521500458 0.806861670353982 0.759898438356164 0.741925788778878 0.763521228971963 0.768273522012579 0.760198849884526 0.750023876170656 0.759126575532901 0.768807356321839 0.74187295257181 0.74094393754243 0.787126123595506 0.787391273137697 0.732566138211382 0.751608892307692
"Marinobacter_sp_LVR2A5A20" 0.74214694924406 0.757875990295545 0.75855452570922 0.757502235734331 0.969570746062448 0.751337553816047 0.755173281958296 0.742679338541667 1 0.738169776334776 0.750829390896921 0.751337553816047 0.737638885923949 0.757829087336245 0.757745482712169 0.744911206225681 0.751492062937063 0.755524221698113 0.747732107692308 0.734624387543253 0.750923450148075 0.747681646998461 0.969274954363948 0.751322305 0.736466489151874 0.759386070640177 0.749421468957872 0.749189066666667 0.754614005141388 0.754732296056186 0.750263474576271 0.80700078209954 0.751310450310559 0.747162222803347 0.731740343796711 0.737235007204611 0.748539304304304 0.758814652808492 0.758343540027765 0.759626552808989 0.805755270744059 0.800085835638088 0.751695811163276 0.751871794742164 0.752308608786611 0.756498644924208 0.758099496567506 0.840640641025641 0.756632550182482 0.778439170673077 0.756370098654709 0.748248896833503 0.747779167502508 0.760679593679458 0.758795996457042 0.836789803711635 0.748236496062992 0.749232674302789 0.760222358818419 0.784758492682927 0.756338041529023 0.755896788432268 0.757058615932354 0.746006609819121 0.755988900999092 0.746106750136091 0.78419434696895 0.779996906187625 0.755399579923622 0.755861513303769 0.729596562255286 0.747999478173607
"Marinobacter_segnicrescens_CGMCC_1_6489" 0.758672933857236 0.763489165165165 0.766423178528347 0.752740265957447 0.737662007246377 0.764473153320919 0.748073675099867 0.745870440653873 0.737781910274964 1 0.763215952722063 0.764473153320919 0.74893373853211 0.764350527876631 0.755233525271913 0.753514037433155 0.76081416286645 0.761757326543603 0.754585666666667 0.74209600636436 0.758548379923761 0.758506974522293 0.737444835646457 0.761376910725755 0.746889923195084 0.76200189258312 0.766890430769231 0.75834820415879 0.763163931078494 0.76675203257329 0.756674128738622 0.738881627742392 0.758469602960969 0.755929109364768 0.746369198184569 0.780825307917889 0.758594577332498 0.760541859756098 0.752536542800265 0.758026394075982 0.748116081175647 0.739475686853767 0.756571232970027 0.765834261548471 0.754191716016151 0.763169547738694 0.732764315012305 0.740360418702024 0.755318983713355 0.73988901369863 0.754987644415918 0.757285262467192 0.753437772667543 0.733863808752026 0.76054656097561 0.738351701215154 0.748537028169014 0.760153034351145 0.756090080545229 0.736891821829855 0.759890666222518 0.764797645901639 0.762995637462236 0.755914871465296 0.7574606875 0.746629533187454 0.736896179056755 0.736559011952191 0.766549322147651 0.767915551771117 0.74158464344942 0.753446120576671
